Date,entries
2010-04-17,3072277
2010-04-18,2418238
2010-04-19,5301087
2010-04-20,5471349
2010-04-21,5485434
2010-04-22,5486645
2010-04-23,4953424
2010-05-01,3347711
2010-05-02,2474745
2010-05-03,5191615
2010-05-04,5456015
2010-05-05,5567405
2010-05-06,5477325
2010-05-07,4991935
2010-05-08,3046575
2010-05-09,2271126
2010-05-10,5276078
2010-05-11,5445789
2010-05-12,5392813
2010-05-13,5567086
2010-05-14,4922274
2010-05-22,3172098
2010-05-23,2384456
2010-05-24,5261299
2010-05-25,5498851
2010-05-26,5537184
2010-05-27,5372640
2010-05-28,4740914
2010-05-29,2885955
2010-05-30,2554979
2010-05-31,2562549
2010-06-01,5282261
2010-06-02,5500221
2010-06-03,5492180
2010-06-04,4905749
2010-06-05,3092699
2010-06-06,2423257
2010-06-07,5273269
2010-06-08,5455616
2010-06-09,5437579
2010-06-10,5311906
2010-06-11,4874602
2010-06-12,3154179
2010-06-13,2519078
2010-06-14,5207236
2010-06-15,5470163
2010-06-16,5422369
2010-06-17,5431204
2010-06-18,4819164
2010-06-19,3257372
2010-06-20,2413419
2010-06-21,5111911
2010-06-22,5297452
2010-06-23,5336676
2010-06-24,5279012
2010-06-25,4724081
2010-06-26,3107364
2010-06-27,2591558
2010-06-28,5110874
2010-06-29,5119636
2010-06-30,5230982
2010-07-01,5152059
2010-07-02,4318108
2010-07-03,2869535
2010-07-04,2547421
2010-07-05,2533768
2010-07-06,4859082
2010-07-07,5013558
2010-07-08,5083443
2010-07-09,4509125
2010-07-10,2815401
2010-07-11,2357104
2010-07-12,5004535
2010-07-13,5008034
2010-07-14,5098493
2010-07-15,5280675
2010-07-16,4542907
2010-07-17,3074718
2010-07-18,2457527
2010-07-19,4931803
2010-07-20,5173927
2010-07-21,5242196
2010-07-22,5291283
2010-07-23,4505313
2010-07-24,2908446
2010-07-25,2318506
2010-07-26,4990489
2010-07-27,5192390
2010-07-28,5228083
2010-07-29,5131282
2010-07-30,4542102
2010-07-31,3010632
2010-08-01,2293288
2010-08-02,4931818
2010-08-03,5106962
2010-08-04,5144844
2010-08-05,5113067
2010-08-06,4470669
2010-08-07,3035410
2010-08-08,2449201
2010-08-09,4857882
2010-08-10,5011595
2010-08-11,5059412
2010-08-12,4954742
2010-08-13,4412275
2010-08-14,2981116
2010-08-15,2316971
2010-08-16,4697484
2010-08-17,4955754
2010-08-18,4941226
2010-08-19,4977034
2010-08-20,4339480
2010-08-21,2929901
2010-08-22,2085973
2010-08-23,4491383
2010-08-24,4742380
2010-08-25,4712870
2010-08-26,5019000
2010-08-27,4379876
2010-08-28,2976900
2010-08-29,2388523
2010-08-30,4804776
2010-08-31,4977399
2010-09-01,5044280
2010-09-02,5055267
2010-09-03,4237903
2010-09-04,3012535
2010-09-05,2586587
2010-09-06,2658781
2010-09-07,5094245
2010-09-08,5353396
2010-09-09,4751123
2010-09-10,4416123
2010-09-11,3111464
2010-09-12,2297006
2010-09-13,5463500
2010-09-14,5591569
2010-09-15,5658353
2010-09-16,5643590
2010-09-17,4900239
2010-09-18,3005729
2010-09-19,2471881
2010-09-20,5512133
2010-09-21,5715002
2010-09-22,5700134
2010-09-23,5635655
2010-09-24,5028570
2010-09-25,3133398
2010-09-26,2332990
2010-09-27,5262177
2010-09-28,5461117
2010-09-29,5609838
2010-09-30,5248619
2010-10-01,4756286
2010-10-02,3200633
2010-10-03,2437633
2010-10-04,5394095
2010-10-05,5541518
2010-10-06,5637675
2010-10-07,5677334
2010-10-08,5069241
2010-10-09,3255847
2010-10-10,2531076
2010-10-11,4034301
2010-10-12,5522901
2010-10-13,5652844
2010-10-14,5655441
2010-10-15,5085499
2010-10-16,3159835
2010-10-17,2463350
2010-10-18,5500437
2010-10-19,5623370
2010-10-20,5673476
2010-10-21,5648097
2010-10-22,5135140
2010-10-23,3190550
2010-10-24,2402742
2010-10-25,5421932
2010-10-26,5571170
2010-10-27,5589238
2010-10-28,5772425
2010-10-29,5148132
2010-10-30,3194865
2010-10-31,2632608
2010-11-01,5432312
2010-11-02,5117491
2010-11-03,5599009
2010-11-04,5530574
2010-11-05,5120681
2010-11-06,3237049
2010-11-07,2669281
2010-11-08,5424527
2010-11-09,5617508
2010-11-10,5697254
2010-11-11,4928472
2010-11-12,5320175
2010-11-13,3291980
2010-11-14,2401610
2010-11-15,5401597
2010-11-16,5503282
2010-11-17,5628704
2010-11-18,5655368
2010-11-19,5294034
2010-11-20,3235005
2010-11-21,2363294
2010-11-22,5481330
2010-11-23,5628686
2010-11-24,5489075
2010-11-25,2077957
2010-11-26,3220059
2010-11-27,2857356
2010-11-28,2213145
2010-11-29,5303244
2010-11-30,5523525
2010-12-01,5293914
2010-12-02,5702704
2010-12-03,5343248
2010-12-04,3438054
2010-12-05,2486164
2010-12-06,5462437
2010-12-07,5605153
2010-12-08,5650641
2010-12-09,5666838
2010-12-10,5292715
2010-12-11,3539232
2010-12-12,2200426
2010-12-13,5454465
2010-12-14,5451065
2010-12-15,5560153
2010-12-16,5626487
2010-12-17,5277085
2010-12-18,3470164
2010-12-19,2584678
2010-12-20,5408810
2010-12-21,5472490
2010-12-22,5411384
2010-12-23,5037391
2010-12-24,2795662
2010-12-25,1567433
2010-12-26,2015962
2010-12-27,2017982
2010-12-28,4140418
2010-12-29,4825946
2010-12-30,5050575
2010-12-31,3471598
2011-01-01,2387665
2011-01-02,2310758
2011-01-03,4971442
2011-01-04,5217939
2011-01-05,5270680
2011-01-06,5265346
2011-01-07,4720748
2011-01-08,2846390
2011-01-09,2190374
2011-01-10,5140353
2011-01-11,5214290
2011-01-12,4150197
2011-01-13,5293829
2011-01-14,4941281
2011-01-15,2787102
2011-01-16,2190267
2011-01-17,3146181
2011-01-18,4968955
2011-01-19,5296239
2011-01-20,5375735
2011-01-21,4831626
2011-01-22,2780474
2011-01-23,2038158
2011-01-24,5015213
2011-01-25,5072590
2011-01-26,4969611
2011-01-27,3727601
2011-01-28,5138035
2011-01-29,3035685
2011-01-30,2322107
2011-01-31,5349861
2011-02-01,5339830
2011-02-02,4876686
2011-02-03,5553842
2011-02-04,5228780
2011-02-05,2848139
2011-02-06,2339988
2011-02-07,5383508
2011-02-08,5506480
2011-02-09,5494629
2011-02-10,5543928
2011-02-11,5085652
2011-02-12,3099136
2011-02-13,2353653
2011-02-14,5492565
2011-02-15,5470630
2011-02-16,5505943
2011-02-17,5522876
2011-02-18,5155556
2011-02-19,2982078
2011-02-20,2363921
2011-02-21,2973075
2011-02-22,5072484
2011-02-23,5188510
2011-02-24,5173596
2011-02-25,4537722
2011-02-26,3075525
2011-02-27,2262027
2011-02-28,5174901
2011-03-01,5433129
2011-03-02,5415555
2011-03-03,5422611
2011-03-04,5125234
2011-03-05,3105583
2011-03-06,2054880
2011-03-07,5404774
2011-03-08,5583935
2011-03-09,5578804
2011-03-10,5457333
2011-03-11,5113264
2011-03-12,3141792
2011-03-13,2255633
2011-03-14,5340791
2011-03-15,5540538
2011-03-16,5463978
2011-03-17,5757139
2011-03-18,5058587
2011-03-19,3248839
2011-03-20,2428696
2011-03-21,5198015
2011-03-22,5589372
2011-03-23,5404166
2011-03-24,5535027
2011-03-25,5013252
2011-03-26,3142968
2011-03-27,2368955
2011-03-28,5344875
2011-03-29,5501533
2011-03-30,5519791
2011-03-31,5529137
2011-04-01,4916489
2011-04-02,3211346
2011-04-03,2461955
2011-04-04,5404166
2011-04-05,5540285
2011-04-06,5680953
2011-04-07,5645356
2011-04-08,5084338
2011-04-09,3268865
2011-04-10,2396540
2011-04-11,5458880
2011-04-12,5537688
2011-04-13,5556921
2011-04-14,5723398
2011-04-15,5083831
2011-04-16,2941357
2011-04-17,2558844
2011-04-18,5001781
2011-04-19,4961882
2011-04-20,5168494
2011-04-21,5370783
2011-04-22,4068666
2011-04-23,2742170
2011-04-24,2388500
2011-04-25,4790055
2011-04-26,5149982
2011-04-27,5596190
2011-04-28,5481661
2011-04-29,5063698
2011-04-30,3341079
2011-05-01,2639147
2011-05-02,5380884
2011-05-03,5587110
2011-05-04,5505251
2011-05-05,5734535
2011-05-06,5043130
2011-05-07,3230876
2011-05-08,2433992
2011-05-09,5344685
2011-05-10,5610040
2011-05-11,5612349
2011-05-12,5676160
2011-05-13,5005062
2011-05-14,3210684
2011-05-15,2421106
2011-05-16,5399425
2011-05-17,5460692
2011-05-18,5604551
2011-05-19,5597120
2011-05-20,4990437
2011-05-21,3259619
2011-05-22,2421473
2011-05-23,5363925
2011-05-24,5593735
2011-05-25,5654843
2011-05-26,5592589
2011-05-27,4854805
2011-05-28,3000989
2011-05-29,2527589
2011-05-30,2599823
2011-05-31,5366709
2011-06-01,5497939
2011-06-02,5585685
2011-06-03,4981883
2011-06-04,3105518
2011-06-05,2479583
2011-06-06,5406232
2011-06-07,5613645
2011-06-08,5543537
2011-06-09,5304110
2011-06-10,4970597
2011-06-11,3096390
2011-06-12,2581020
2011-06-13,5383835
2011-06-14,5579834
2011-06-15,5584447
2011-06-16,5574370
2011-06-17,4735150
2011-06-18,3257377
2011-06-19,2469668
2011-06-20,5176330
2011-06-21,5438788
2011-06-22,5361836
2011-06-23,5325070
2011-06-24,4719817
2011-06-25,3231019
2011-06-26,2780306
2011-06-27,5253099
2011-06-28,5493822
2011-06-29,5353676
2011-06-30,5275176
2011-07-01,4469753
2011-07-02,2930477
2011-07-03,2177322
2011-07-04,2652658
2011-07-05,4997387
2011-07-06,5226915
2011-07-07,5277970
2011-07-08,4616048
2011-07-09,3104093
2011-07-10,2509714
2011-07-11,5107437
2011-07-12,5249842
2011-07-13,5314983
2011-07-14,5366647
2011-07-15,4664288
2011-07-16,3116656
2011-07-17,2466190
2011-07-18,5030234
2011-07-19,5261712
2011-07-20,5331092
2011-07-21,5234758
2011-07-22,4302216
2011-07-23,2830436
2011-07-24,2334426
2011-07-25,5010658
2011-07-26,5305904
2011-07-27,5332354
2011-07-28,5260744
2011-07-29,4491981
2011-07-30,3114154
2011-07-31,2485688
2011-08-01,4969749
2011-08-02,5221517
2011-08-03,5205080
2011-08-04,5230677
2011-08-05,4552256
2011-08-06,2998362
2011-08-07,2392329
2011-08-08,4949686
2011-08-09,5015579
2011-08-10,5242333
2011-08-11,5278471
2011-08-12,4498711
2011-08-13,3037444
2011-08-14,1911676
2011-08-15,4751608
2011-08-16,4976001
2011-08-17,5129839
2011-08-18,5016382
2011-08-19,4381475
2011-08-20,3015499
2011-08-21,2316357
2011-08-22,4746535
2011-08-23,4817137
2011-08-24,4937512
2011-08-25,4728906
2011-08-26,4340901
2011-08-27,523692
2011-08-28,3763
2011-08-29,3646066
2011-08-30,4916340
2011-08-31,5058783
2011-09-01,5128417
2011-09-02,4411322
2011-09-03,3084199
2011-09-04,2611514
2011-09-05,2574723
2011-09-06,5023952
2011-09-07,5310349
2011-09-08,5680576
2011-09-09,5073961
2011-09-10,3022541
2011-09-11,2219550
2011-09-12,5548789
2011-09-13,5706323
2011-09-14,5761841
2011-09-15,5792323
2011-09-16,5211429
2011-09-17,3221091
2011-09-18,2549367
2011-09-19,5575172
2011-09-20,5685621
2011-09-21,5788917
2011-09-22,5766796
2011-09-23,5048005
2011-09-24,3221771
2011-09-25,2522855
2011-09-26,5507366
2011-09-27,5666374
2011-09-28,5455788
2011-09-29,4775866
2011-09-30,4585343
2011-10-01,3121935
2011-10-02,2524883
2011-10-03,5537013
2011-10-04,5610450
2011-10-05,5780447
2011-10-06,5747986
2011-10-07,4995494
2011-10-08,3078407
2011-10-09,2572866
2011-10-10,4126028
2011-10-11,5639653
2011-10-12,5622995
2011-10-13,5608663
2011-10-14,5051533
2011-10-15,3416458
2011-10-16,2618496
2011-10-17,5604765
2011-10-18,5683024
2011-10-19,5546356
2011-10-20,5667523
2011-10-21,5127101
2011-10-22,3393045
2011-10-23,2546669
2011-10-24,5529413
2011-10-25,5771625
2011-10-26,5727460
2011-10-27,5783969
2011-10-28,5323992
2011-10-29,2703299
2011-10-30,2489241
2011-10-31,5586617
2011-11-01,5738341
2011-11-02,5778560
2011-11-03,5838613
2011-11-04,5280340
2011-11-05,3397572
2011-11-06,2815875
2011-11-07,5593736
2011-11-08,5291707
2011-11-09,5774369
2011-11-10,5829972
2011-11-11,4763086
2011-11-12,3366998
2011-11-13,2467053
2011-11-14,5516287
2011-11-15,5639390
2011-11-16,5693108
2011-11-17,5748006
2011-11-18,5374129
2011-11-19,3285254
2011-11-20,2465034
2011-11-21,5551634
2011-11-22,5740481
2011-11-23,5433597
2011-11-24,2258883
2011-11-25,3330630
2011-11-26,2930866
2011-11-27,2261848
2011-11-28,5403499
2011-11-29,5552634
2011-11-30,5824261
2011-12-01,5806971
2011-12-02,5431083
2011-12-03,3537421
2011-12-04,2592114
2011-12-05,5577815
2011-12-06,5710910
2011-12-07,5733748
2011-12-08,5874863
2011-12-09,5502456
2011-12-10,3683799
2011-12-11,2619319
2011-12-12,5556846
2011-12-13,5746848
2011-12-14,5723311
2011-12-15,5663258
2011-12-16,5414102
2011-12-17,3627495
2011-12-18,2685251
2011-12-19,5534873
2011-12-20,5661821
2011-12-21,5558916
2011-12-22,5528713
2011-12-23,4655484
2011-12-24,2622091
2011-12-25,1629616
2011-12-26,2870411
2011-12-27,4310587
2011-12-28,4766977
2011-12-29,4797686
2011-12-30,4446079
2011-12-31,3262185
2012-01-01,2285338
2012-01-02,2869048
2012-01-03,5092696
2012-01-04,5190832
2012-01-05,5360880
2012-01-06,5070040
2012-01-07,3041807
2012-01-08,2219631
2012-01-09,5186014
2012-01-10,5307178
2012-01-11,5354646
2012-01-12,5221766
2012-01-13,5017272
2012-01-14,2780965
2012-01-15,2113182
2012-01-16,3153546
2012-01-17,5221070
2012-01-18,5439410
2012-01-19,5413910
2012-01-20,5094075
2012-01-21,2607035
2012-01-22,2118848
2012-01-23,5057404
2012-01-24,5320644
2012-01-25,5318913
2012-01-26,5300641
2012-01-27,4897887
2012-01-28,3101088
2012-01-29,2304716
2012-01-30,5252159
2012-01-31,5531654
2012-02-01,5529241
2012-02-02,5588688
2012-02-03,5232077
2012-02-04,3118674
2012-02-05,2314390
2012-02-06,5348008
2012-02-07,5773635
2012-02-08,5599363
2012-02-09,5648018
2012-02-10,5298147
2012-02-11,2965087
2012-02-12,2247506
2012-02-13,5271404
2012-02-14,5671711
2012-02-15,5572504
2012-02-16,5555440
2012-02-17,5193333
2012-02-18,3119144
2012-02-19,2455652
2012-02-20,3207715
2012-02-21,5194129
2012-02-22,5279625
2012-02-23,5312603
2012-02-24,4787857
2012-02-25,3041699
2012-02-26,2263968
2012-02-27,5347732
2012-02-28,5561348
2012-02-29,5465589
2012-03-01,5603832
2012-03-02,5264510
2012-03-03,3085876
2012-03-04,2343637
2012-03-05,5497292
2012-03-06,5633933
2012-03-07,5653722
2012-03-08,5696327
2012-03-09,5264382
2012-03-10,3258052
2012-03-11,2409661
2012-03-12,5446929
2012-03-13,5559431
2012-03-14,5699443
2012-03-15,5681431
2012-03-16,5061442
2012-03-17,3553621
2012-03-18,2567427
2012-03-19,5460435
2012-03-20,5628766
2012-03-21,5631606
2012-03-22,5698452
2012-03-23,5097355
2012-03-24,3294434
2012-03-25,2410405
2012-03-26,5488827
2012-03-27,5585870
2012-03-28,5601325
2012-03-29,5735741
2012-03-30,5144614
2012-03-31,3050326
2012-04-01,2470355
2012-04-02,5572062
2012-04-03,5759406
2012-04-04,5818780
2012-04-05,5826657
2012-04-06,4153901
2012-04-07,3187494
2012-04-08,2401520
2012-04-09,4962263
2012-04-10,5204468
2012-04-11,5237853
2012-04-12,5253948
2012-04-13,4670295
2012-04-14,3309473
2012-04-15,2498325
2012-04-16,5519877
2012-04-17,5687535
2012-04-18,5701823
2012-04-19,5750211
2012-04-20,5118984
2012-04-21,3359339
2012-04-22,2238583
2012-04-23,5438883
2012-04-24,5672267
2012-04-25,5786875
2012-04-26,5735512
2012-04-27,5207212
2012-04-28,3335255
2012-04-29,2620531
2012-04-30,5579476
2012-05-01,5641493
2012-05-02,5727461
2012-05-03,5765620
2012-05-04,5079791
2012-05-05,3322439
2012-05-06,2641461
2012-05-07,5575071
2012-05-08,5683198
2012-05-09,5660767
2012-05-10,5846970
2012-05-11,5157601
2012-05-12,3388495
2012-05-13,2541922
2012-05-14,5496953
2012-05-15,5632836
2012-05-16,5794647
2012-05-17,5872634
2012-05-18,5178471
2012-05-19,3543497
2012-05-20,2804405
2012-05-21,5325465
2012-05-22,5630818
2012-05-23,5721699
2012-05-24,5615139
2012-05-25,4884658
2012-05-26,3090678
2012-05-27,2544757
2012-05-28,2672706
2012-05-29,5473159
2012-05-30,5563724
2012-05-31,5667720
2012-06-01,5040580
2012-06-02,3225806
2012-06-03,2635758
2012-06-04,5430812
2012-06-05,5709890
2012-06-06,5719822
2012-06-07,5619156
2012-06-08,5096462
2012-06-09,3307510
2012-06-10,2752104
2012-06-11,5461762
2012-06-12,5646752
2012-06-13,5567243
2012-06-14,5761010
2012-06-15,5006353
2012-06-16,3362783
2012-06-17,2555802
2012-06-18,5403696
2012-06-19,5613009
2012-06-20,5659315
2012-06-21,5497742
2012-06-22,4747428
2012-06-23,3393934
2012-06-24,2847892
2012-06-25,5178778
2012-06-26,5550468
2012-06-27,5696237
2012-06-28,5497415
2012-06-29,4733840
2012-06-30,3218284
2012-07-01,2572057
2012-07-02,5087903
2012-07-03,5267882
2012-07-04,2879031
2012-07-05,4894310
2012-07-06,4393960
2012-07-07,2947587
2012-07-08,2500470
2012-07-09,5200824
2012-07-10,5411715
2012-07-11,5455237
2012-07-12,5505822
2012-07-13,4736571
2012-07-14,3230079
2012-07-15,2544032
2012-07-16,5258404
2012-07-17,5428833
2012-07-18,5277650
2012-07-19,5405734
2012-07-20,4592043
2012-07-21,3277808
2012-07-22,2663291
2012-07-23,5183079
2012-07-24,5449268
2012-07-25,5487069
2012-07-26,5276718
2012-07-27,4586418
2012-07-28,3001661
2012-07-29,2506665
2012-07-30,5200260
2012-07-31,5368327
2012-08-01,5307178
2012-08-02,5426022
2012-08-03,4679348
2012-08-04,3195699
2012-08-05,2508463
2012-08-06,5074771
2012-08-07,5299628
2012-08-08,5351772
2012-08-09,5309019
2012-08-10,4440017
2012-08-11,3078855
2012-08-12,2614090
2012-08-13,5049224
2012-08-14,5169804
2012-08-15,5130406
2012-08-16,5288087
2012-08-17,4546756
2012-08-18,3081006
2012-08-19,2557150
2012-08-20,4853160
2012-08-21,5060439
2012-08-22,5070405
2012-08-23,5072941
2012-08-24,4429610
2012-08-25,3087586
2012-08-26,2540174
2012-08-27,4941567
2012-08-28,5202825
2012-08-29,5271318
2012-08-30,5234973
2012-08-31,4548832
2012-09-01,3146252
2012-09-02,2656774
2012-09-03,2609738
2012-09-04,5210907
2012-09-05,5410558
2012-09-06,5838079
2012-09-07,5165092
2012-09-08,3067716
2012-09-09,2660410
2012-09-10,5696584
2012-09-11,5773340
2012-09-12,5848262
2012-09-13,5874383
2012-09-14,5283650
2012-09-15,3381599
2012-09-16,2624683
2012-09-17,4791635
2012-09-18,4843388
2012-09-19,5877535
2012-09-20,5878027
2012-09-21,5241611
2012-09-22,3363226
2012-09-23,2631249
2012-09-24,5721231
2012-09-25,5633357
2012-09-26,4868668
2012-09-27,5912058
2012-09-28,5141056
2012-09-29,3403588
2012-09-30,2643761
2012-10-01,5611240
2012-10-02,5708388
2012-10-03,5853218
2012-10-04,5879394
2012-10-05,5253173
2012-10-06,3440953
2012-10-07,2558603
2012-10-08,4208827
2012-10-09,5662339
2012-10-10,5909600
2012-10-11,6014698
2012-10-12,5355293
2012-10-13,3482251
2012-10-14,2708736
2012-10-15,5669101
2012-10-16,5872416
2012-10-17,5850227
2012-10-18,5915893
2012-10-19,5144214
2012-10-20,3523459
2012-10-21,2681950
2012-10-22,5674438
2012-10-23,5799254
2012-10-24,5809774
2012-10-25,5929472
2012-10-26,5267537
2012-10-27,3474449
2012-10-28,1852524
2012-10-29,1335
2012-10-30,1114
2012-10-31,2009
2012-11-01,18390
2012-11-02,9822
2012-11-03,1790425
2012-11-04,1749598
2012-11-05,4548759
2012-11-06,4461519
2012-11-07,4581637
2012-11-08,4794219
2012-11-09,4871448
2012-11-10,3277810
2012-11-11,2566666
2012-11-12,4622755
2012-11-13,5492065
2012-11-14,5530072
2012-11-15,5605667
2012-11-16,5187806
2012-11-17,3280773
2012-11-18,2467339
2012-11-19,5441786
2012-11-20,5637900
2012-11-21,5452820
2012-11-22,2183712
2012-11-23,3292681
2012-11-24,2920579
2012-11-25,2321161
2012-11-26,5436069
2012-11-27,5426002
2012-11-28,5744132
2012-11-29,5713842
2012-11-30,5370941
2012-12-01,3401436
2012-12-02,2525273
2012-12-03,5587886
2012-12-04,5715175
2012-12-05,5686768
2012-12-06,5676231
2012-12-07,5262919
2012-12-08,3500965
2012-12-09,2524789
2012-12-10,5489635
2012-12-11,5757539
2012-12-12,5792964
2012-12-13,5804042
2012-12-14,5387859
2012-12-15,3754358
2012-12-16,2549292
2012-12-17,5490117
2012-12-18,5641115
2012-12-19,5688804
2012-12-20,5662785
2012-12-21,4933524
2012-12-22,3250595
2012-12-23,2710498
2012-12-24,3442776
2012-12-25,1685381
2012-12-26,3860443
2012-12-27,4317970
2012-12-28,4345148
2012-12-29,2911849
2012-12-30,2776457
2012-12-31,4165708
2013-01-01,2167743
2013-01-02,5010264
2013-01-03,5218576
2013-01-04,4902787
2013-01-05,3022134
2013-01-06,2275252
2013-01-07,5174352
2013-01-08,5270907
2013-01-09,5285681
2013-01-10,5323621
2013-01-11,4961394
2013-01-12,2998511
2013-01-13,2252463
2013-01-14,5129015
2013-01-15,5284280
2013-01-16,5210255
2013-01-17,5400529
2013-01-18,5092182
2013-01-19,3025163
2013-01-20,2369846
2013-01-21,3144468
2013-01-22,5114998
2013-01-23,5009564
2013-01-24,5108997
2013-01-25,4741592
2013-01-26,2880530
2013-01-27,2243450
2013-01-28,5122192
2013-01-29,5509404
2013-01-30,5554453
2013-01-31,5586255
2013-02-01,5230817
2013-02-02,3064582
2013-02-03,2231716
2013-02-04,5393361
2013-02-05,5522224
2013-02-06,5617830
2013-02-07,5693624
2013-02-08,4419613
2013-02-09,2306159
2013-02-10,2348791
2013-02-11,5332192
2013-02-12,5504726
2013-02-13,5756976
2013-02-14,5796682
2013-02-15,5277971
2013-02-16,3161997
2013-02-17,2454458
2013-02-18,3178254
2013-02-19,5144554
2013-02-20,5532076
2013-02-21,5534415
2013-02-22,5195612
2013-02-23,2910742
2013-02-24,2281808
2013-02-25,5406939
2013-02-26,5548231
2013-02-27,5467278
2013-02-28,5637754
2013-03-01,5313688
